symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi_14
QQQ,2025-09-11 16:19:00+00:00,584.48,584.6951,584.48,584.6951,51055.0,771.0,584.594635,54.17147251057286
QQQ,2025-09-11 16:20:00+00:00,584.69,584.73,584.66,584.66,42912.0,671.0,584.696165,50.6286145335671
QQQ,2025-09-11 16:21:00+00:00,584.66,584.74,584.66,584.73,41761.0,618.0,584.70611,54.09165302782384
QQQ,2025-09-11 16:22:00+00:00,584.74,584.79,584.73,584.79,67322.0,825.0,584.755958,55.140507196703325
QQQ,2025-09-11 16:23:00+00:00,584.7825,584.7825,584.68,584.685,76538.0,863.0,584.730782,50.13502285001635
QQQ,2025-09-11 16:24:00+00:00,584.68,584.685,584.51,584.56,62052.0,832.0,584.579494,43.45916651092995
QQQ,2025-09-11 16:25:00+00:00,584.57,584.6901,584.56,584.65,50055.0,716.0,584.64556,49.553651133726646
QQQ,2025-09-11 16:26:00+00:00,584.6499,584.69,584.59,584.62,38761.0,586.0,584.640415,46.397045577372225
QQQ,2025-09-11 16:27:00+00:00,584.615,584.62,584.47,584.5,41799.0,658.0,584.562109,44.207003089599446
QQQ,2025-09-11 16:28:00+00:00,584.51,584.55,584.42,584.47,25563.0,505.0,584.48234,44.78351591027698
